algo,inst,arm,t,bestcmax
abce3,ft10,V2,4.6,993.60
abce3,ft10,V2,4.8,993.60
abce3,ft10,V2,5.0,956.70
abce3,ft10,V2,5.2,963.20
abce3,ft10,V2,5.4,963.20
abce3,ft10,V2,5.6,963.20
abce3,ft10,V2,5.8,963.20
abce3,ft10,V2,6.0,963.20
abce3,ft10,V2,6.2,963.20
abce3,ft10,V2,6.4,963.20
abce3,ft10,V2,6.6,963.20
abce3,ft10,V2,6.8,963.20
abce3,ft10,V2,7.0,963.20
abce3,ft10,V2,7.2,963.20
abce3,ft10,V2,7.4,963.20
abce3,ft10,V2,7.6,963.20
abce3,ft10,V2,7.8,963.20
abce3,ft10,V2,8.0,963.20
abce3,ft10,V2,8.2,963.20
abce3,ft10,V2,8.4,963.20
abce3,ft10,V2,8.6,963.20
abce3,ft10,V2,8.8,963.20
abce3,ft10,V2,9.0,963.20
abce3,ft10,V2,9.2,963.20
abce3,ft10,V2,9.4,963.20
abce3,ft10,V2,9.6,963.20
abce3,ft10,V2,9.8,963.20
abce3,ft10,V2,10.0,963.20
abce3,ft10,V2,10.2,961.70
abce3,ft10,V2,10.4,961.70
abce3,ft10,V2,10.6,961.70
abce3,ft10,V2,10.8,961.70
abce3,ft10,V2,11.0,961.70
abce3,ft10,V2,11.2,961.70
abce3,ft10,V2,11.4,961.70
abce3,ft10,V2,11.6,961.70
abce3,ft10,V2,11.8,961.70
abce3,ft10,V2,12.0,961.70
abce3,ft10,V2,12.2,961.70
abce3,ft10,V2,12.4,961.70
abce3,ft10,V2,12.6,961.70
abce3,ft10,V2,12.8,961.70
abce3,ft10,V2,13.0,961.70
abce3,ft10,V2,13.2,961.70
abce3,ft10,V2,13.4,961.70
abce3,ft10,V2,13.6,961.70
abce3,ft10,V2,13.8,961.70
abce3,ft10,V2,14.0,961.70
abce3,ft10,V2,14.2,961.70
abce3,ft10,V2,14.4,961.70
abce3,ft10,V2,14.6,961.70
abce3,ft10,V2,14.8,961.70
abce3,ft10,V2,15.0,961.70
abce3,ft10,V2,15.2,961.70
abce3,ft10,V2,15.4,961.70
abce3,ft10,V2,15.6,961.70
abce3,ft10,V2,15.8,961.70
abce3,ft10,V2,16.0,961.70
