"inst","clase","arm","frac","rpd"
"tai30_20_03","30x20","V2H",0.1,3.04655870445344
"tai30_20_03","30x20","V2",0.1,2.58603238866396
"tai30_20_03","30x20","MOR",0.1,5.74898785425101
"tai30_20_03","30x20","GT",0.1,1.78643724696356
"tai30_20_03","30x20","GP",0.1,0.379554655870445
"tai30_20_03","30x20","MIX",0.1,1.19939271255061
"tai30_20_03","30x20","A0",0.25,-0.328947368421053
"tai30_20_03","30x20","V2H",0.25,-0.870445344129557
"tai30_20_03","30x20","V2",0.25,-0.829959514170045
"tai30_20_03","30x20","MOR",0.25,2.96052631578947
"tai30_20_03","30x20","GT",0.25,-0.141700404858297
"tai30_20_03","30x20","GP",0.25,-1.38157894736842
"tai30_20_03","30x20","MIX",0.25,-1.24493927125506
"tai30_20_03","30x20","A0",0.5,0.0860323886639699
"tai30_20_03","30x20","V2H",0.5,-1.26518218623482
"tai30_20_03","30x20","V2",0.5,-1.37651821862348
"tai30_20_03","30x20","MOR",0.5,1.92307692307692
"tai30_20_03","30x20","GT",0.5,-0.379554655870445
"tai30_20_03","30x20","GP",0.5,-1.3917004048583
"tai30_20_03","30x20","MIX",0.5,-1.60931174089069
"tai30_20_03","30x20","A0",1,-0.576923076923082
"tai30_20_03","30x20","V2H",1,-1.88765182186235
"tai30_20_03","30x20","V2",1,-1.47267206477732
"tai30_20_03","30x20","MOR",1,2.44433198380567
"tai30_20_03","30x20","GT",1,-0.465587044534415
"tai30_20_03","30x20","GP",1,-1.66497975708502
"tai30_20_03","30x20","MIX",1,-1.60931174089069
"tai30_20_04","30x20","A0",0.05,5.25585844093735
"tai30_20_04","30x20","V2H",0.05,5.68149210903875
"tai30_20_04","30x20","V2",0.05,5.15542802486849
"tai30_20_04","30x20","MOR",0.05,6.72405547584887
"tai30_20_04","30x20","GT",0.05,3.99808703969392
"tai30_20_04","30x20","GP",0.05,3.92635102821616
"tai30_20_04","30x20","MIX",0.05,4.50502152080343
"tai30_20_04","30x20","A0",0.1,2.3481587757054
"tai30_20_04","30x20","V2H",0.1,2.14729794356768
"tai30_20_04","30x20","V2",0.1,2.28598756575802
"tai30_20_04","30x20","MOR",0.1,4.72501195600192
"tai30_20_04","30x20","GT",0.1,1.69296987087518
